АВС/ DEF;От;До;Емкость;Оператор;Регион
812;5977176;5978878;1703;Ростелеком;Санкт - Петербург
812;5978879;5978879;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5978880;5999999;21120;Ростелеком;Санкт - Петербург
812;6000000;6000019;20;МегаФон;Санкт - Петербург
812;6000020;6000059;40;МегаФон;Санкт - Петербург
812;6000060;6000069;10;МегаФон;Санкт - Петербург
812;6000070;6000099;30;МегаФон;Санкт - Петербург
812;6000100;6000109;10;МегаФон;Санкт - Петербург
812;6000110;6000199;90;МегаФон;Санкт - Петербург
812;6000200;6000209;10;МегаФон;Санкт - Петербург
812;6000210;6000299;90;МегаФон;Санкт - Петербург
812;6000300;6000399;100;Мобильные ТелеСистемы;Санкт - Петербург
812;6000400;6000499;100;Мобильные ТелеСистемы;Санкт - Петербург
812;6000500;6000599;100;Мобильные ТелеСистемы;Санкт - Петербург
812;6000600;6000699;100;МегаФон;Санкт - Петербург
812;6000700;6000799;100;МегаФон;Санкт - Петербург
812;6000800;6000899;100;МегаФон;Санкт - Петербург
812;6000900;6000949;50;МегаФон;Санкт - Петербург
812;6000950;6000999;50;МегаФон;Санкт - Петербург
812;6001000;6001117;118;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001118;6001119;2;БСИ Телеком;Санкт - Петербург
812;6001120;6001161;42;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001162;6001163;2;БСИ Телеком;Санкт - Петербург
812;6001164;6001240;77;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001241;6001242;2;БСИ Телеком;Санкт - Петербург
812;6001243;6001252;10;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001253;6001254;2;БСИ Телеком;Санкт - Петербург
812;6001255;6001256;2;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001257;6001257;1;БСИ Телеком;Санкт - Петербург
812;6001258;6001270;13;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001271;6001280;10;БСИ Телеком;Санкт - Петербург
812;6001281;6001313;33;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001314;6001328;15;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001329;6001332;4;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001333;6001333;1;Евросервис;Санкт - Петербург
812;6001334;6001335;2;БСИ Телеком;Санкт - Петербург
812;6001336;6001444;109;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001445;6001446;2;СпецПромСвязь;Санкт - Петербург
812;6001447;6001490;44;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001491;6001497;7;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001498;6001599;102;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001600;6001600;1;СпецПромСвязь;Санкт - Петербург
812;6001601;6001699;99;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001700;6001777;78;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001778;6001779;2;БСИ Телеком;Санкт - Петербург
812;6001780;6001819;40;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001820;6001821;2;БСИ Телеком;Санкт - Петербург
812;6001822;6001834;13;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001835;6001844;10;БСИ Телеком;Санкт - Петербург
812;6001845;6001845;1;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001846;6001847;2;БСИ Телеком;Санкт - Петербург
812;6001848;6001870;23;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001871;6001871;1;СпецПромСвязь;Санкт - Петербург
812;6001872;6001955;84;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6001956;6001956;1;БСИ Телеком;Санкт - Петербург
812;6001957;6001999;43;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6002000;6002199;200;Объединенные сети;Санкт - Петербург
812;6002200;6002299;100;Невалинк;Санкт - Петербург
812;6002300;6002599;300;Объединенные сети;Санкт - Петербург
812;6002600;6002999;400;Ростелеком;Санкт - Петербург
812;6003000;6003059;60;Классик Транзит Телеком;Санкт - Петербург
812;6003060;6003060;1;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6003061;6003099;39;Классик Транзит Телеком;Санкт - Петербург
812;6003100;6003109;10;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6003110;6003110;1;Классик Транзит Телеком;Санкт - Петербург
812;6003111;6003113;3;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;6003114;6003114;1;Классик Транзит Телеком;Санкт - Петербург
812;6003115;6003116;2;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
