79012661949;79012661950;РТ-Мобайл;RT-Mobail;
79012661951;79012661951;Ростелеком;Rostelekom;
79012661952;79012661953;РТ-Мобайл;RT-Mobail;
79012661954;79012661954;Ростелеком;Rostelekom;
79012661955;79012661962;РТ-Мобайл;RT-Mobail;
79012661963;79012661963;Ростелеком;Rostelekom;
79012661964;79012661981;РТ-Мобайл;RT-Mobail;
79012661982;79012661982;Ростелеком;Rostelekom;
79012661983;79012662010;РТ-Мобайл;RT-Mobail;
79012662011;79012662011;Ростелеком;Rostelekom;
79012662012;79012662298;РТ-Мобайл;RT-Mobail;
79012662299;79012662299;Ростелеком;Rostelekom;
79012662300;79012662381;РТ-Мобайл;RT-Mobail;
79012662382;79012662382;Ростелеком;Rostelekom;
79012662383;79012662402;РТ-Мобайл;RT-Mobail;
79012662403;79012662403;Ростелеком;Rostelekom;
79012662404;79012662554;РТ-Мобайл;RT-Mobail;
79012662555;79012662555;Ростелеком;Rostelekom;
79012662556;79012662705;РТ-Мобайл;RT-Mobail;
79012662706;79012662706;Ростелеком;Rostelekom;
79012662707;79012662760;РТ-Мобайл;RT-Mobail;
79012662761;79012662761;Ростелеком;Rostelekom;
79012662762;79012662765;РТ-Мобайл;RT-Mobail;
79012662766;79012662766;Ростелеком;Rostelekom;
79012662767;79012662775;РТ-Мобайл;RT-Mobail;
79012662776;79012662776;Ростелеком;Rostelekom;
79012662777;79012662787;РТ-Мобайл;RT-Mobail;
79012662788;79012662788;Ростелеком;Rostelekom;
79012662789;79012662830;РТ-Мобайл;RT-Mobail;
79012662831;79012662832;Ростелеком;Rostelekom;
79012662833;79012662864;РТ-Мобайл;RT-Mobail;
79012662865;79012662865;Ростелеком;Rostelekom;
79012662866;79012662894;РТ-Мобайл;RT-Mobail;
79012662895;79012662895;Ростелеком;Rostelekom;
79012662896;79012662931;РТ-Мобайл;RT-Mobail;
79012662932;79012662932;Ростелеком;Rostelekom;
79012662933;79012662933;РТ-Мобайл;RT-Mobail;
79012662934;79012662934;Ростелеком;Rostelekom;
79012662935;79012663036;РТ-Мобайл;RT-Mobail;
79012663037;79012663037;Ростелеком;Rostelekom;
79012663038;79012663042;РТ-Мобайл;RT-Mobail;
79012663043;79012663045;Ростелеком;Rostelekom;
79012663046;79012663047;РТ-Мобайл;RT-Mobail;
79012663048;79012663048;Ростелеком;Rostelekom;
79012663049;79012663128;РТ-Мобайл;RT-Mobail;
79012663129;79012663129;Ростелеком;Rostelekom;
79012663130;79012663138;РТ-Мобайл;RT-Mobail;
79012663139;79012663140;Ростелеком;Rostelekom;
79012663141;79012663376;РТ-Мобайл;RT-Mobail;
79012663377;79012663377;Ростелеком;Rostelekom;
79012663378;79012663402;РТ-Мобайл;RT-Mobail;
79012663403;79012663403;Ростелеком;Rostelekom;
79012663404;79012663472;РТ-Мобайл;RT-Mobail;
79012663473;79012663473;Ростелеком;Rostelekom;
79012663474;79012663486;РТ-Мобайл;RT-Mobail;
79012663487;79012663487;Ростелеком;Rostelekom;
79012663488;79012663511;РТ-Мобайл;RT-Mobail;
79012663512;79012663512;Ростелеком;Rostelekom;
79012663513;79012663559;РТ-Мобайл;RT-Mobail;
79012663560;79012663560;Ростелеком;Rostelekom;
79012663561;79012663564;РТ-Мобайл;RT-Mobail;
79012663565;79012663565;Ростелеком;Rostelekom;
79012663566;79012663581;РТ-Мобайл;RT-Mobail;
79012663582;79012663582;Ростелеком;Rostelekom;
79012663583;79012663611;РТ-Мобайл;RT-Mobail;
79012663612;79012663612;Ростелеком;Rostelekom;
79012663613;79012663642;РТ-Мобайл;RT-Mobail;
79012663643;79012663643;Ростелеком;Rostelekom;
79012663644;79012663648;РТ-Мобайл;RT-Mobail;
79012663649;79012663649;Ростелеком;Rostelekom;
79012663650;79012663820;РТ-Мобайл;RT-Mobail;
79012663821;79012663821;Ростелеком;Rostelekom;
79012663822;79012663877;РТ-Мобайл;RT-Mobail;
79012663878;79012663878;Ростелеком;Rostelekom;
79012663879;79012664361;РТ-Мобайл;RT-Mobail;
79012664362;79012664362;Ростелеком;Rostelekom;
79012664363;79012664466;РТ-Мобайл;RT-Mobail;
79012664467;79012664467;Ростелеком;Rostelekom;
79012664468;79012664624;РТ-Мобайл;RT-Mobail;
79012664625;79012664625;Ростелеком;Rostelekom;
79012664626;79012664874;РТ-Мобайл;RT-Mobail;
79012664875;79012664875;Ростелеком;Rostelekom;
79012664876;79012664941;РТ-Мобайл;RT-Mobail;
79012664942;79012664942;Ростелеком;Rostelekom;
79012664943;79012665009;РТ-Мобайл;RT-Mobail;
79012665010;79012665014;Ростелеком;Rostelekom;
79012665015;79012665070;РТ-Мобайл;RT-Mobail;
79012665071;79012665071;Ростелеком;Rostelekom;
79012665072;79012665161;РТ-Мобайл;RT-Mobail;
79012665162;79012665162;Ростелеком;Rostelekom;
79012665163;79012665165;РТ-Мобайл;RT-Mobail;
79012665166;79012665166;Ростелеком;Rostelekom;
79012665167;79012665222;РТ-Мобайл;RT-Mobail;
79012665223;79012665223;Ростелеком;Rostelekom;
79012665224;79012665268;РТ-Мобайл;RT-Mobail;
79012665269;79012665270;Ростелеком;Rostelekom;
79012665271;79012665335;РТ-Мобайл;RT-Mobail;
79012665336;79012665336;Ростелеком;Rostelekom;
79012665337;79012665395;РТ-Мобайл;RT-Mobail;
79012665396;79012665396;Ростелеком;Rostelekom;
79012665397;79012665437;РТ-Мобайл;RT-Mobail;
79012665438;79012665438;Ростелеком;Rostelekom;
79012665439;79012665499;РТ-Мобайл;RT-Mobail;
79012665500;79012665500;Ростелеком;Rostelekom;
79012665501;79012665536;РТ-Мобайл;RT-Mobail;
79012665537;79012665537;Ростелеком;Rostelekom;
79012665538;79012665564;РТ-Мобайл;RT-Mobail;
79012665565;79012665565;Ростелеком;Rostelekom;
79012665566;79012665566;РТ-Мобайл;RT-Mobail;
79012665567;79012665567;Ростелеком;Rostelekom;
79012665568;79012665628;РТ-Мобайл;RT-Mobail;
79012665629;79012665629;Ростелеком;Rostelekom;
79012665630;79012665691;РТ-Мобайл;RT-Mobail;
79012665692;79012665692;Ростелеком;Rostelekom;
79012665693;79012665823;РТ-Мобайл;RT-Mobail;
79012665824;79012665824;Ростелеком;Rostelekom;
79012665825;79012667021;РТ-Мобайл;RT-Mobail;
79012667022;79012667022;Ростелеком;Rostelekom;
79012667023;79012667026;РТ-Мобайл;RT-Mobail;
79012667027;79012667027;Ростелеком;Rostelekom;
79012667028;79012667036;РТ-Мобайл;RT-Mobail;
79012667037;79012667037;Ростелеком;Rostelekom;
79012667038;79012667495;РТ-Мобайл;RT-Mobail;
79012667496;79012667496;Ростелеком;Rostelekom;
79012667497;79012667546;РТ-Мобайл;RT-Mobail;
79012667547;79012667547;Ростелеком;Rostelekom;
79012667548;79012667560;РТ-Мобайл;RT-Mobail;
79012667561;79012667561;Ростелеком;Rostelekom;
79012667562;79012667705;РТ-Мобайл;RT-Mobail;
79012667706;79012667706;Ростелеком;Rostelekom;
79012667707;79012667755;РТ-Мобайл;RT-Mobail;
79012667756;79012667756;Ростелеком;Rostelekom;
79012667757;79012668165;РТ-Мобайл;RT-Mobail;
79012668166;79012668166;Ростелеком;Rostelekom;
79012668167;79012668212;РТ-Мобайл;RT-Mobail;
79012668213;79012668213;Ростелеком;Rostelekom;
79012668214;79012668223;РТ-Мобайл;RT-Mobail;
